Unnamed: 0,Suomi,English
2262,saattoi ,could 
2263,laulaa ,sing 
2264,vakavasti ,seriously 
2265,yöllä ,at night 
2266,ämmä ,woman 
2267,jakaa ,share 
2268,hyvänen ,a good one 
2269,perusteella ,by 
2270,muutti ,moved 
2271,Don ,Don 
2272,jonkinlainen ,some sort of 
2273,kesti ,lasted 
2274,vaatteita ,clothes 
2275,vaiheessa ,stage 
2276,omia ,appropriate 
2277,Jason ,Jason 
2278,menettänyt ,lost 
2279,puhuvat ,are talking 
2280,olitko ,Were you 
2281,pelkästään ,only 
2282,äijä ,old man 
2283,turhaan ,in vain 
2284,muru ,sugar 
2285,vanhaa ,old 
2286,sydämeni ,my heart 
2287,Stan ,Stan 
2288,juna ,train 
2289,luotan ,I trust 
2290,jones ,jones 
2291,suostu ,agree 
2292,suhde ,ratio 
2293,unohtanut ,lost 
2294,typerää ,silly 
2295,rauhoittukaa ,calm down 
2296,ta ,ta 
2297,ympäriinsä ,about 
2298,muualle ,elsewhere 
2299,kyllästynyt ,bored 
2300,vasten ,against 
2301,miettinyt ,thought about 
2302,näillä ,with these 
2303,prinssi ,prince 
2304,antamaan ,to give 
2305,perille ,there 
2306,tuleeko ,will 
2307,mahdollisuutta ,possibility 
2308,tilanteen ,the situation 
2309,kiitollinen ,grateful 
2310,yhtenä ,as one 
2311,täällä ,here 
2312,kaikkein ,very 
2313,joutuu ,has to 
2314,yritätkö ,Are you trying 
2315,oppinut ,learned 
2316,lähdettävä ,to leave 
2317,red ,ed 
2318,rahasta ,about money 
2319,liikkumatta ,Freeze 
2320,näköjään ,apparently 
2321,Ted ,Ted 
2322,kauniita ,beautiful 
2323,tarjoan ,I offer 
2324,kuolevat ,are dying 
2325,katsoo ,is watching 
2326,nuku ,sleep 
2327,oikeutta ,right 
2328,jotakuta ,someone 
2329,menit ,you went 
2330,tyttöjä ,girls 
2331,otit ,you took 
2332,murhasta ,of murder 
2333,vaihtoehtoa ,option 
2334,siinähän ,that's it 
2335,odottamaan ,to wait 
2336,hyvänsä ,whatever 
2337,hirviö ,monster 
2338,uskot ,you believe 
2339,rikki ,sulfur 
2340,satuta ,to hurt 
2341,poliiseja ,police officers 
2342,tuntemaan ,to feel 
2343,maksoi ,paid 
2344,veden ,of water 
2345,kutsui ,called 
2346,koti ,home 
2347,nousta ,rise 
2348,perheesi ,your family 
2349,tyypit ,types 
2350,Adam ,Adam 
2351,mielestäsi ,in your opinion 
2352,nostaa ,raise 
2353,soittakaa ,please call 
2354,Victor ,Victor 
2355,hänhän ,he is 
2356,lyödä ,hit 
2357,alkanut ,started 
2358,saitte ,you got 
2359,ovet ,the doors 
2360,rakasta ,love 
2361,tarkistaa ,check 
2362,heikko ,weak 
2363,hänkin ,him too 
2364,isä ,father 
2365,Jackson ,Jackson 
2366,luovuta ,give up 
2367,toit ,you brought 
2368,mikäli ,provided 
2369,Yorkissa ,in York 
2370,tarkasti ,closely 
2371,ottaen ,taking 
2372,vihollinen ,enemy 
2373,annamme ,we give 
2374,kamera ,camera 
2375,joutua ,get 
2376,alat ,you start 
2377,luokseen ,over to 
2378,Harvey ,Harvey 
2379,hallitus ,government 
2380,tännepäin ,towards here 
2381,voisinko ,could i 
2382,katsotaanpa ,Let's see 
2383,voisiko ,could you 
2384,pelastamaan ,to rescue 
2385,pallo ,ball 
2386,hassua ,funny 
2387,välittää ,convey 
2388,puhutte ,you talk 
2389,eräänä ,as one 
2390,jatkuu ,to be continued 
2391,elämässä ,in life 
2392,arvoista ,worth 
2393,sääli ,shawl 
2394,parissa ,among 
2395,omistaa ,own 
2396,katsoin ,I looked 
2397,minunkin ,mine too 
2398,vuorosi ,your turn 
2399,opettaja ,teacher 
2400,edestä ,from the front 
2401,sika ,swine 
2402,hallituksen ,of the government 
2403,lähetin ,transmitter 
2404,valtion ,state 
2405,minullakin ,me too 
2406,Scott ,Scott 
2407,välttämättä ,necessarily 
2408,Susan ,Susan 
2409,käytän ,I use 
2410,hyvästä ,of good 
2411,etsitään ,looking for 
2412,luulette ,you think 
2413,rikas ,rich 
2414,lihaa ,meat 
2415,mehän ,me 
2416,sua ,you 
2417,jättänyt ,left 
2418,olikaan ,it was 
2419,tarkista ,check 
2420,tarpeen ,necessary 
2421,vapaana ,at liberty 
2422,uutiset ,news 
2423,aluksi ,at first 
2424,homer ,Homer 
2425,paikkoja ,places 
2426,yksikään ,none 
2427,ex ,ex 
2428,yksinkertaista ,simple 
2429,paikkansa ,its place 
2430,huonoja ,bad ones 
2431,paremmalta ,better 
2432,mielessä ,in view 
2433,samat ,the same 
2434,sattui ,it hurt 
2435,vihdoin ,finally 
2436,osoittaa ,show 
2437,käsky ,command 
2438,vartijat ,guards 
2439,toistaiseksi ,so far 
2440,kuvittele ,Imagine 
2441,näy ,appears 
2442,työsi ,your work 
2443,kengät ,boots 
2444,sori ,sorry 
2445,näkemään ,to see 
2446,uhri ,victim 
2447,amy ,Amy 
2448,olipa ,whatever 
2449,kuvat ,pictures 
2450,kotoisin ,indigenous 
2451,jatketaan ,let's continue 
2452,jollekin ,to someone 
2453,ihmeessä ,ever 
2454,sara ,sedge 
2455,tyttäresi ,your daughter 
2456,täytynyt ,fulfilled 
2457,näyttämään ,to show 
2458,alta ,from below 
2459,varalta ,against 
2460,aloin ,I started 
2461,tunnu ,feel 
2462,saamaan ,to get 
2463,lainata ,borrow 
2464,mekin ,us too 
2465,sanottu ,said 
2466,kysyi ,asked 
2467,hölmö ,silly 
2468,katsohan ,Let's see 
2469,moi ,Hi 
2470,naida ,fuck 
2471,koiran ,canine 
2472,viimein ,at last 
2473,pelkäät ,you are afraid 
2474,parantaa ,improve 
2475,kirjoitti ,wrote 
2476,valtava ,huge 
2477,määrä ,number 
2478,mut ,but 
2479,tapana ,habit 
2480,jätit ,you left 
2481,olutta ,beer 
2482,taivaan ,celestial 
2483,hänessä ,in him 
2484,syönyt ,ate 
2485,lordi ,lord 
2486,mieleen ,mind 
2487,seuraavat ,the following 
2488,ikävää ,sad 
2489,koe ,test 
2490,älä ,do not 
2491,metrin ,meter 
2492,sininen ,blue 
2493,aloitamme ,we begin 
2494,kaverini ,my friend 
2495,tarjosi ,offered 
2496,henkilökohtaisesti ,personally 
2497,henkiin ,to life 
2498,tuhat ,thousand 
2499,normaali ,normal 
2500,tuhansia ,thousands of 
2501,kuninkaan ,royal 
2502,kissa ,cat 
2503,menette ,you go 
2504,huomaan ,I notice 
2505,käsken ,I command 
2506,väkeä ,people 
2507,pelastit ,you saved 
2508,olisitte ,you would be 
2509,puhelimeen ,to the phone 
2510,rankkaa ,tough 
2511,yhteydessä ,in connection with 
2512,sääntö ,rule 
2513,koneen ,machine 
2514,lupasit ,you promised 
2515,yritetään ,let's try 
2516,päättyy ,ends 
2517,Phil ,Phil 
2518,syyllinen ,guilty 
2519,omasta ,of my own 
2520,voisitte ,you could 
2521,tavaraa ,stuff 
2522,kuolleena ,dead 
2523,kauheaa ,terrible 
2524,löytäneet ,have found 
2525,tappoivat ,killed 
2526,loukkaantunut ,injured 
2527,työskentelee ,is working 
2528,valehtelija ,liar 
2529,Emily ,Emily 
2530,voihan ,I can 
2531,tietäisi ,would know 
2532,pelkuri ,coward 
2533,pohjoiseen ,north 
2534,sanoja ,words 
2535,joissa ,where 
2536,hallita ,control 
2537,sodassa ,at war 
2538,muistat ,you remember 
2539,tapat ,you kill 
2540,tahtoo ,wants to 
2541,lakkaa ,cease 
2542,etelä ,south 
2543,asialle ,for that matter 
2544,tekisit ,you would 
2545,jaa ,ice 
2546,seuraavana ,next 
2547,ennemmin ,first 
2548,käsin ,manually 
2549,kuuntelen ,I'm listening 
2550,todisteet ,proof 
2551,tämähän ,this one 
2552,pelin ,the game 
2553,pidätetty ,prisoner 
2554,simon ,simon 
2555,myöntää ,grant 
2556,saatat ,you might 
2557,hommaa ,thing 
2558,toisiaan ,each other 
2559,oikeaan ,to the right 
2560,loppua ,end 
2561,sanoitte ,you said 
2562,jospa ,if only 
2563,pidit ,you liked 
2564,joutui ,had to 
2565,näkevät ,can see 
2566,päätä ,head 
2567,näissä ,in these 
2568,taloon ,to the house 
2569,huomioon ,into account 
2570,käyttänyt ,used 
2571,aamen ,Amen 
2572,selvisi ,survived 
2573,saako ,can 
2574,suusi ,your mouth 
2575,lucy ,Lucy 
2576,neljän ,four 
2577,ääntä ,voice 
2578,st ,St 
2579,oletan ,I suppose 
2580,tervehdys ,greeting 
2581,toimeen ,get along 
2582,alice ,Alice 
2583,puhdas ,clean 
2584,palaamme ,we'll be back 
2585,mrs ,mrs 
2586,saapui ,arrived 
2587,valmiit ,done 
2588,sean ,Sean 
2589,viisas ,wise 
2590,vasen ,left 
2591,kyydin ,I took a ride 
2592,kirjoita ,write 
2593,hoidamme ,we take care 
2594,oikeuteen ,to court 
2595,auttoi ,helped 
2596,pidätte ,you like 
2597,ajattelit ,you thought 
2598,kohtalo ,destiny 
2599,lähestyy ,approaches 
2600,varsinkin ,especially 
2601,rakkauden ,of love 
2602,astetta ,degree 
2603,kavereita ,friends 
2604,kirjoitan ,I am writing 
2605,henkeä ,breath 
2606,lopetan ,I'll stop 
2607,pahalta ,bad 
2608,painaa ,press 
2609,päältä ,off 
2610,laura ,Laura 
2611,henkensä ,his life 
2612,joen ,the river 
2613,valehtelet ,you are lying 
2614,vihdoinkin ,finally 
2615,kuulee ,hears 
2616,ilmaa ,air 
2617,alueen ,area 
2618,huolissasi ,worried about you 
2619,etsinyt ,searched for 
2620,koodi ,code 
2621,soikoon ,let it ring 
2622,Marcus ,Marcus 
2623,sammuta ,turn off 
2624,käytetään ,is used 
2625,pitkän ,long 
2626,oikeuden ,right 
2627,kuolivat ,died 
2628,nimellä ,mark 
2629,voisivat ,they could 
2630,pahalla ,bad 
2631,jäänyt ,remaining 
2632,tutkin ,I investigated 
2633,avuksi ,of use 
2634,opin ,i learned 
2635,veivät ,took 
2636,muualla ,elsewhere 
2637,onkaan ,it is 
2638,yritys ,company 
2639,kyttä ,cop 
2640,palasi ,returned 
2641,Brian ,Brian 
2642,tapettiin ,was killed 
2643,valitse ,choose 
2644,voittaja ,winner 
2645,pannaan ,let's put 
2646,tyyppiä ,type 
2647,sanotte ,you say 
2648,liittyä ,be joined 
2649,putosi ,fell 
2650,kuussa ,in the month 
2651,lex ,lex 
2652,nytkö ,now? 
2653,tehtiin ,was made 
2654,enemmänkin ,even more 
2655,nero ,genius 
2656,varasti ,stole 
2657,heihin ,to them 
2658,sanomaan ,to say 
2659,liikkeellä ,on the move 
2660,vuosien ,years 
2661,toistan ,I repeat 
2662,pystytkö ,can you 
2663,jalat ,legs 
2664,minussa ,in me 
2665,päättänyt ,decided 
2666,sanoisi ,would say 
2667,tieto ,information 
2668,lähdin ,i left 
2669,ikkunasta ,from the window 
2670,saadaan ,is obtained 
2671,turha ,useless 
2672,aikoihin ,by 
2673,väärää ,wrong 
2674,erottaa ,distinguish 
2675,normaalia ,normal 
2676,kuolevan ,dying 
2677,laitoin ,I put 
2678,Roy ,Roy 
2679,Edward ,Edward 
2680,paperit ,papers 
2681,omalla ,on my own 
2682,yläkertaan ,upstairs 
2683,Smith ,Smith 
2684,seksikäs ,sexy 
2685,isot ,big ones 
2686,talosta ,from the house 
2687,puhuit ,you spoke 
2688,vanhemmat ,parents 
2689,piilossa ,tucked away 
2690,elämääni ,my life 
2691,pienet ,small ones 
2692,toimimaan ,to operate 
2693,hyväksyä ,accept 
2694,Bruce ,Bruce 
2695,kerrallaan ,at a time 
2696,kysymyksen ,the question 
2697,niinkuin ,like 
2698,siisti ,neat 
2699,työskennellä ,work 
2700,toiminut ,worked 
2701,odotat ,you wait 
2702,pääni ,my head 
2703,jeff ,Jeff 
2704,lyön ,I'm hitting 
2705,km ,km 
2706,jouduin ,I had to 
2707,kulkee ,passes 
2708,seuraan ,follow me 
2709,täyttä ,full 
2710,laskekaa ,count 
2711,tarkka ,exact 
2712,suo ,swamp 
2713,sanaakaan ,not a word 
2714,house ,house 
2715,eiköhän ,I suppose so 
2716,taistelu ,fight 
2717,kuulehan ,Listen 
2718,huomiota ,attention 
2719,paskiaiset ,bastards 
2720,hulluja ,crazy 
2721,kadun ,street 
2722,puhelun ,call 
2723,hank ,project 
2724,toisessa ,in the other 
2725,laskea ,calculate 
2726,puku ,suit 
2727,ymmärtänyt ,understood 
2728,toiseksi ,second 
2729,aiotte ,you are going to 
2730,yhdestä ,from one 
2731,sataa ,rain 
2732,ajoi ,drove 
2733,muitakin ,others too 
2734,peliin ,to the game 
2735,huonoa ,bad 
2736,toimivat ,work 
2737,aivot ,brain 
2738,voitti ,won 
2739,mennäänkö ,shall we go 
2740,pormestari ,mayor 
2741,mahdollisesti ,possibly 
2742,Yhdysvaltain ,of the United States 
2743,elämästä ,of life 
2744,York ,York 
2745,yksinäinen ,lonely 
2746,maksamaan ,to pay 
2747,senttiä ,cents 
2748,mentiin ,we went 
2749,vaihtoehto ,alternative 
2750,näimme ,we saw 
2751,miljoonan ,million 
2752,tärkein ,main 
2753,tähti ,star 
2754,viimeinkin ,Finally 
2755,treffit ,date 
2756,sokea ,blind 
2757,jestas ,jeez 
2758,yritit ,you tried 
2759,syön ,i eat 
2760,luoksesi ,to you 
2761,poliisia ,the police 
2762,valoa ,light 
2763,luke ,Luke 
2764,nätti ,pretty 
2765,vartija ,guard 
2766,ruma ,ugly 
2767,kolmeen ,to three 
2768,sanoiko ,Did he say 
2769,kamala ,horrible 
2770,kuulleet ,heard 
2771,rakastin ,i loved 
2772,ettette ,you don't 
2773,vika ,fault 
2774,miss ,miss 
2775,kirjaa ,records 
2776,räjähtää ,explode 
2777,henkesi ,your life 
2778,huolen ,worry 
2779,kuumaa ,hot 
2780,halusivat ,wanted to 
2781,Marty ,Marty 
2782,aikojen ,of the times 
2783,kohtaa ,encounter 
2784,of ,of 
2785,odotetaan ,is expected 
2786,näettekö ,You see 
2787,oot ,you are 
2788,oo ,yes 
2789,tyhmää ,stupid 
2790,osta ,buy 
2791,todennäköisesti ,likely 
2792,opetti ,taught 
2793,juosta ,run 
2794,kaikella ,with everything 
2795,parhaan ,the best 
2796,poikansa ,his son 
2797,pahoittelen ,I'm sorry 
2798,takiasi ,because of you 
2799,työtäni ,my work 
2800,parhaani ,my best 
2801,kusessa ,in the shit 
2802,taaksepäin ,backwards 
2803,valinta ,selection 
2804,välitän ,i care 
2805,opit ,you learn 
2806,elä ,live 
2807,nukkuu ,is sleeping 
2808,rakentaa ,build 
2809,rauhaa ,peace 
2810,vanki ,prisoner 
2811,palvelus ,service 
2812,onnittelut ,pat on the back 
2813,valmistautukaa ,get ready 
2814,kuuluisa ,renowned 
2815,todellista ,real 
2816,Fred ,Fred 
2817,kysyy ,asks 
2818,istuu ,sitting 
2820,luovuttaa ,alienate 
2821,tulevaisuus ,future 
2822,aseenne ,your weapon 
2823,suojaa ,protect 
2824,jätkät ,dudes 
2825,lain ,of the law 
2826,onnistunut ,successful 
2827,paskan ,shit 
2828,joukkue ,team 
2829,vanhempi ,senior 
2830,hoitamaan ,to take care of 
2831,ystävällinen ,friendly 
2832,yhtiön ,of the company 
2833,rakkaani ,my beloved 
2834,rose ,rose 
2835,lopun ,the end 
2836,ilkeä ,malicious 
2837,toimintaa ,activity 
2838,tavanneet ,have met 
2839,syntynyt ,born 
2840,äidille ,for mom 
2841,sisko ,sister 
2842,paljastaa ,reveal 
2843,tapetaan ,to be killed 
2844,elokuvan ,the movie 
2845,vauvan ,infant 
2846,ampukaa ,shoot 
2847,Yorkin ,of York 
2848,lupa ,authorization 
2849,elävänä ,on the hoof 
2850,laitetaan ,let's put 
2851,laki ,law 
2852,lyhyt ,short 
2853,salaisuus ,secret 
2854,pahempaa ,worse 
2855,vessassa ,in the toilet 
2856,sulkea ,close 
2857,rentoudu ,Relax 
2858,nauti ,enjoy 
2859,menisi ,would go 
2860,vahinko ,damage 
2861,saadakseen ,for 
2862,täyttää ,fill 
2863,päätin ,I decided 
2864,varmista ,make sure 
2865,tilaisuuden ,the occasion 
2866,uskomme ,we believe 
2867,mieli ,mind 
2868,ajattelee ,thinks 
2869,sängyssä ,in bed 
2870,lääkärin ,medical 
2871,kysyttävää ,questions 
2872,asianajaja ,lawyer 
2873,kauhea ,terrible 
2874,kaverisi ,your friend 
2875,hinta ,price 
2876,jatkamme ,we continue 
2877,terveisiä ,greetings 
2878,hälytys ,alarm 
2879,hyväksy ,accept 
2880,käteen ,on 
2881,rauhan ,of peace 
2882,käsiksi ,within reach 
2883,älkää ,start 
2884,silmiin ,into the eyes 
2885,ovea ,the door 
2886,kuulet ,you hear 
2887,ansa ,trap 
2888,pidättää ,reserve 
2889,aamu ,morning 
2890,olenkin ,I am 
2891,muuttua ,shift 
2892,yllä ,above 
2893,saisit ,you would get 
2894,big ,big 
2895,Tyler ,Tyler 
2896,käännä ,turn 
2897,onnistui ,succeeded 
2898,muutamia ,a few 
2899,herätä ,wake up 
2900,laittakaa ,please put 
2901,kaupunkia ,city 
2902,miljoona ,million 
2903,kuolemasta ,of death 
2904,virtaa ,flows 
2905,tiedon ,of information 
2906,ymmärrättekö ,do you understand 
2907,miles ,miles 
2908,työskentelen ,I am working 
2909,keskity ,concentrate 
2910,sanoitko ,Did you say 
2911,sotilaita ,soldiers 
2912,oletkin ,you are 
2913,paskapuhetta ,bullshit 
2914,humalassa ,drunk 
2915,operaatio ,operation 
2916,korkea ,high 
2917,löydettävä ,to be found 
2918,juoskaa ,to run 
2919,olla ,be 
2920,löysivät ,found 
2921,toinenkin ,another one too 
2922,puheen ,speech 
2923,välissä ,between 
2924,menimme ,we went 
2925,löytämään ,to find 
2926,Jackie ,Jackie 
2927,aikovat ,are going to 
2928,sormus ,ring 
2929,osoite ,address 
2930,ystävämme ,our friend 
2931,tappakaa ,kill 
2932,nälkäinen ,hungry 
2933,tarkoitti ,meant 
2934,siskosi ,your sister 
2935,perääntykää ,Back off 
2936,tietäisin ,i would know 
2937,sanan ,word 
2938,hakemassa ,applying 
2939,pelissä ,in play 
2940,pistää ,inject 
2941,kyllä ,Yes 
2942,aikamoinen ,pretty good 
2943,voita ,win 
2944,voimakas ,strong 
2945,luulit ,you thought 
2946,maailmaan ,to the world 
2947,aito ,genuine 
2948,käyttävät ,are using 
2949,roger ,Roger 
2950,hengittää ,breathe 
2951,pilaa ,mess up 
2952,kaveria ,a friend 
2953,vakava ,serious 
2954,viemme ,we take 
2955,pahan ,evil 
2956,miehestä ,about the man 
2957,hiukset ,hair 
2958,tykkään ,i like 
2959,juhlia ,celebrate 
2960,yläkerrassa ,upstairs 
2961,pärjäät ,you will be fine 
2962,uuteen ,to the new one 
2963,itselleen ,to himself 
2964,millaisia ,what kind 
2965,nai ,fuck 
2966,Ross ,Ross 
2967,syytäni ,my fault 
2968,juhliin ,to the party 
2969,surullinen ,sad 
2970,-llä ,-with 
2971,tiellä ,under foot 
2972,tanssi ,dance 
2973,viet ,you take 
2974,in ,in 
2975,kysynyt ,asked 
2976,laittoi ,put 
2977,teihin ,to you 
2978,-vuotiaana ,-years old 
2979,siinäkö ,That's it 
2980,nimeltään ,titled 
2981,tylsää ,boring 
2982,muusta ,from the rest 
2983,ymmärsin ,I understood 
2984,voitin ,i won 
2985,kytät ,you can 
2986,valmentaja ,coach 
2987,vapauttaa ,release 
2988,periksi ,to give up 
2989,ehdotan ,I suggest 
2990,häipykää ,fade away 
2991,pohjois- ,north 
2992,löydettiin ,was found 
2993,soitit ,you called 
2994,erilaista ,different 
2995,miehenne ,your husband 
2996,vene ,boat 
2997,pahin ,worst 
2998,bart ,Bart 
2999,suuria ,big ones 
3000,etelään ,southward 
3001,lakia ,law 
3002,tyttöjen ,of girls 
3003,morgan ,Morgan 
3004,kaikessa ,in everything 
3005,lapsille ,for children 
3006,ratkaisu ,solution 
3007,kippis ,Cheers 
3008,luuletteko ,do you think 
3009,luuli ,thought 
3010,näytänkö ,Shall I show 
3011,nimenne ,your name 
3012,inhoan ,I hate it 
3013,malja ,cup 
3014,poju ,sonny 
3015,mukaamme ,with us 
3016,palauttaa ,return 
3017,älykäs ,intelligent 
3018,pihalle ,to the yard 
3019,lähemmäs ,closer 
3020,murehdi ,worried 
3021,riitti ,rite 
3022,Annie ,Annie 
3023,kuuletteko ,do you hear 
3024,mulla ,i have 
3025,kirjoitin ,printer 
3026,varmoja ,certain 
3027,osti ,bought 
3028,kuukausi ,month 
3029,vuotaa ,leak 
3030,Julie ,Julie 
3031,kokenut ,experienced 
3032,hakekaa ,Apply 
3033,vihreä ,green 
3034,Kim ,Kim 
3035,ilmoittaa ,inform 
3036,Terry ,Terry 
3037,paikat ,seating 
3038,minuutti ,minute 
3039,oloni ,my mood 
3040,lähettäkää ,please send 
3041,uutinen ,news 
3042,kirjoittanut ,written by 
3043,lento ,flight 
3044,kirjeen ,the letter 
3045,äitiä ,mother 
3046,tavarat ,goods 
3047,levätä ,rest 
3048,pimeää ,dark 
3049,lintu ,bird 
3050,poistaa ,remove 
3051,perseestä ,ass 
3052,tim ,Tim 
3053,noista ,of those 
3054,koulu ,school 
3055,jean ,jean 
3056,Yorkiin ,to York 
3057,syntymäpäivää ,birthday 
3058,vieras ,guest 
3059,menetti ,lost 
3060,suloinen ,sweet 
3061,menevän ,to go 
3062,uskovat ,believe 
3063,housut ,pants 
3064,beibi ,baby 
3065,ilmaan ,up 
3066,wayne ,Wayne 
3067,tottakai ,of course 
3068,liittovaltion ,federal 
3069,kuului ,was heard 
3070,soitat ,you call 
3071,mielesi ,your mind 
3072,vakavaa ,serious 
3073,suurimman ,the biggest 
3074,paremman ,better 
3075,Elizabeth ,Elizabeth 
3076,totuutta ,the truth 
3077,lupasi ,promised 
3078,ohjelma ,program 
3079,siksikö ,That's why 
3080,tapahtunutta ,happened 
3081,löi ,hit 
3082,nostakaa ,lift up 
3083,valtaa ,power 
3084,ostan ,i buy 
3085,lopuksi ,finally 
3086,vastauksia ,answers 
3087,katsella ,view 
3088,tehtävän ,task 
3089,portti ,port 
3090,Steven ,Steven 
3091,rakastavat ,they love 
3092,menetimme ,we lost 
3093,yhteistyötä ,cooperation 
3094,rakasti ,loved 
3095,nimet ,the names 
3096,asut ,wear 
3097,Leonard ,Leonard 
3098,molempia ,both 
3099,samanlaisia ,similar 
3100,saatko ,can you 
3101,takuulla ,sure 
3102,olevat ,those 
3103,tilanteessa ,in the situation 
3104,sopiva ,suitable 
3105,välin ,between 
3106,syntyi ,born in 
3107,vasemmalla ,on the left 
3108,valehdella ,lie 
3109,kuuden ,six 
3110,Cole ,Cole 
3111,sekö ,it's okay 
3112,howard ,howard 
3113,eroa ,break up 
3114,koulusta ,from school 
3115,tutulta ,familiar 
3116,tahdotko ,do you want 
3117,yhteistä ,in common 
3118,jälkiä ,traces 
3119,huolissaan ,concerned 
3120,asu ,outfit 
3121,miehensä ,her husband 
3122,koeta ,to experience 
3123,myöskään ,neither 
3124,merkkejä ,characters 
3125,huolehdin ,i took care 
3126,rajan ,the border 
3127,hidasta ,slow down 
3128,ennenkuin ,before 
3129,selviämme ,we will survive 
3130,mulle ,to me 
3131,nimeen ,by 
3132,ruumista ,body 
3133,pelätä ,play 
3134,rohkea ,brave 
3135,rakennus ,building 
3136,tietokone ,computer 
3137,kaikkeen ,for everything 
3138,heiltä ,from them 
3139,radio ,radio 
3140,kuuluuko ,right? 
3141,tartu ,grab 
3142,yhdistää ,compound 
3143,luoti ,bullet 
3144,sydämen ,cardiac 
3145,lähtevät ,are leaving 
3146,täti ,aunt 
3147,potilas ,patient 
3148,poikia ,cub 
3149,pala ,piece 
3150,kultaa ,gold 
3151,lähemmäksi ,closer 
3152,laite ,device 
3153,munaa ,egg 
3154,voida ,be 
3155,Jesse ,Jesse 
3156,FBI ,FBI 
3157,koulua ,school 
3158,CTU ,CTU 
3159,haluta ,want 
3160,isoja ,big ones 
3161,sitäkö ,That's it 
3162,pysäyttäkää ,Stop it 
3163,omani ,my own 
3164,dick ,Dick 
3165,joukko ,set 
3166,and ,and 
3167,tajunnut ,realized 
3168,vaikeuksia ,difficulties 
3169,asunto ,housing 
3170,koneeseen ,to the machine 
3171,toisten ,of others 
3172,vaikutuksen ,effect 
3173,alku ,initial 
3174,vietiin ,was taken 
3175,herättää ,wake 
3176,kääntää ,turn 
3177,pöydän ,the table 
3178,rannalla ,onshore 
3179,elämääsi ,your life 
3180,alasti ,naked 
3181,Mulder ,Mulder 
3182,tasan ,equally 
3183,vieläkö ,still 
3184,vieraita ,guests 
3185,tämäkö ,This is it 
3186,valehtelee ,is lying 
3187,iltapäivällä ,afternoon 
3188,nimiä ,names 
3189,tuottaa ,produce 
3190,mukaansa ,along with it 
3191,tajuan ,I understand 
3192,löydy ,is found 
3193,koskea ,concern 
3194,jolle ,to whom 
3195,siirry ,move on 
3196,tarvitsisi ,would need 
3197,esitys ,presentation 
3198,tilannetta ,the situation. 
3199,rahan ,money 
3200,seurassa ,with 
3201,menoksi ,going 
3202,vastatkaa ,please answer 
3203,vanhat ,old ones 
3204,rukoilen ,i pray 
3205,enkeli ,angel 
3206,rakennuksen ,the building 
3207,varas ,thief 
3208,jalkani ,my leg 
3209,pilata ,ruin 
3210,pettää ,deceive 
3211,lienee ,will 
3212,puhuttava ,talkative 
3213,Leo ,Leo 
3214,joukkoon ,among 
3215,iskeä ,strike 
3216,osannut ,knew how 
3217,autat ,you help 
3218,suunnitelmia ,plans 
3219,hommiin ,to work 
3220,ensinnäkin ,in the first place 
3221,kysyt ,you ask 
3222,Rick ,Rick 
3223,pelkäsin ,I was afraid 
3224,antaisi ,would give 
3225,helpompaa ,easier 
3226,aikoja ,times 
3227,tonnia ,tons 
3228,päivästä ,of the day 
3229,kelly ,kelly 
3230,yöksi ,overnight 
3231,tapasi ,met 
3232,erinomaista ,excellent 
3233,käynnissä ,in progress 
3234,käytät ,you use 
3235,lutka ,slut 
3236,jokaista ,each one 
3237,muuttui ,changed 
3238,ollutkaan ,had been 
3239,panen ,I bet 
3240,muutakaan ,nothing else 
3241,pieleen ,wrong 
3242,aloitan ,I'll start 
3243,lepää ,rest 
3244,vanhempasi ,your parents 
3245,hulluna ,crazy 
3246,veljet ,brothers 
3247,musiikki ,music 
3248,pahus ,Heck 
3249,maistuu ,it tastes good 
3250,huutaa ,shout 
3251,jumalaa ,god 
3252,aikoi ,intended 
3253,sanottiin ,was said 
3254,päänsä ,his head 
3255,ehtinyt ,had time 
3256,asioiden ,of things 
3257,sulle ,to you 
3258,vessaan ,in the bathroom 
3259,linja ,line 
3260,kutsuvat ,are inviting 
3261,syytön ,blameless 
3262,sanoen ,saying 
3263,taloa ,house 
3264,amerikkalaiset ,Americans 
3265,keksit ,cookies 
3266,kivi ,stone 
3267,väärän ,the wrong one 
3268,kaikenlaista ,all kinds of 
3269,auringon ,solar 
3270,Connor ,Connor 
3271,kuunnellut ,listened to 
3272,ovesta ,from the door 
3273,isää ,father 
3274,Bauer ,Bauer 
3275,lähdit ,you left 
3276,kukkia ,flower 
3277,epäilty ,suspect 
3278,selviät ,you will survive 
3279,saattaisi ,might 
3280,frodo ,Frodo 
3281,oletpa ,you are 
3282,sinunkin ,yours too 
3283,taisit ,i guess 
3284,rehellisesti ,fair 
3285,toisesta ,from another 
3286,omista ,own 
3287,vuoksesi ,for you 
3288,virus ,virus 
3289,Gordon ,Gordon 
3290,roskaa ,garbage 
3291,rikos ,criminal 
3292,säästä ,filth 
3293,joitakin ,some 
3294,luokan ,class 
3295,keskittyä ,centralize 
3296,käytin ,i used 
3297,näytätte ,you show 
3298,lujaa ,hard 
3299,pappi ,priest 
3300,yksinkertainen ,simple 
3301,auttanut ,helped 
3302,taistelussa ,in action 
3303,Maggie ,Maggie 
3304,yhtiö ,company 
3305,Wilson ,Wilson 
